Wed Aug  6 16:54:54 2014  Debug: ... "less3"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less4.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less4"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less5.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less5"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less6.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less6"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less7.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less7"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less8.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less8"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/less9.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "less9"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/limit.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "limit"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/line_control.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "line_control"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/meter1.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "meter1"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/meter2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "meter2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/meter3.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "meter3"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/over_speed_limit.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "over_speed_limit"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/over_speed_limit2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "over_speed_limit2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "speed"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed_control.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "speed_control"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed_limit.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "speed_limit"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed_limit2.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "speed_limit2"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed_notify_off.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "speed_notify_off"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/speed_notify_on.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "speed_notify_on"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/track_logger_off.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "track_logger_off"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/voice/ru/track_logger_on.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:54 2014  Debug: ... "track_logger_on"  complete 
Wed Aug  6 16:54:54 2014  Debug: loading  "/home/asve/dev/rinf-gui/sound/_sonar.wav" 
Wed Aug  6 16:54:54 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:55 2014  Debug: ... "_sonar"  complete 
Wed Aug  6 16:54:55 2014  Debug: loading  "/home/asve/dev/rinf-gui/sound/sonar.wav" 
Wed Aug  6 16:54:55 2014  Debug: Header  44 bytes 
Wed Aug  6 16:54:55 2014  Debug: ... "sonar"  complete 
Wed Aug  6 16:54:55 2014  Debug: "2014-08-06 16:54:55" loading  "Speedcam.txt.rinf" 
Wed Aug  6 16:54:55 2014  Debug: "2014-08-06 16:54:55"  Loaded  2899  records 
Wed Aug  6 16:54:59 2014  Debug: "2014-08-06 16:54:59" Connect to GPSd 
Wed Aug  6 16:54:59 2014  Debug: "2014-08-06 16:54:59" done 
Wed Aug  6 16:54:59 2014  Debug: "2014-08-06 16:54:59" Open trackfile for write  "tracks/2014-08-06-16-54-59.track" 
Wed Aug  6 16:54:59 2014  Debug: "2014-08-06 16:54:59" done 
Wed Aug  6 16:55:00 2014  Debug: "2014-55-06 16:55:00" "Threaded track_logger_on" 
Wed Aug  6 16:55:00 2014  Debug: search PCM id  "track_logger_on" 
Wed Aug  6 16:55:00 2014  Debug: PCM format set to  16  BPS  
Wed Aug  6 16:55:00 2014  Debug: Channels format set to  1 
Wed Aug  6 16:55:00 2014  Debug: try setup  16000 bitrate 
Wed Aug  6 16:55:00 2014  Debug: sample rate format set to  16000 
Wed Aug  6 16:55:00 2014  Debug: frames calculated to  32 
Wed Aug  6 16:55:00 2014  Debug: frames set to  512 
Wed Aug  6 16:55:00 2014  Debug: Write the parameters to the driver 
Wed Aug  6 16:55:00 2014  Debug: ..done 
Wed Aug  6 16:55:00 2014  Debug: snd_pcm_hw_params_get_period_time done 
Wed Aug  6 16:55:00 2014  Debug: frame_buf_size =  1024 
Wed Aug  6 16:55:00 2014  Debug: play step  0 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  1024 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  2048 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  3072 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  4096 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  5120 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  6144 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  7168 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  8192 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  9216 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  10240 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  11264 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  12288 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  13312 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  14336 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  15360 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  16384 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  17408 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  18432 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  19456 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  20480 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  21504 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  22528 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  23552 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  24576 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  25600 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  26624 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  27648 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  28672 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  29696 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  30720 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  31744 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  32768 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  33792 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  34816 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  35840 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  36864 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  37888 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  38912 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  39936 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  40960 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  41984 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  43008 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  44032 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  45056 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  46080 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  47104 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  48128 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  49152 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  50176 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  51200 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  52224 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  53248 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  54272 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  55296 frames  512 
Wed Aug  6 16:55:00 2014  Debug: play step  56320 frames  263 
Wed Aug  6 16:55:00 2014  Debug: "2014-55-06 16:55:00" "Thread EOF track_logger_on" 
Wed Aug  6 16:55:00 2014  Debug: "2014-08-06 16:55:00"  No GPS Signal 
Wed Aug  6 16:55:00 2014  Debug: "2014-08-06 16:55:00"  No GPS Signal 
Wed Aug  6 16:55:03 2014  Debug: "2014-08-06 16:55:03"  No GPS Signal 
Wed Aug  6 16:55:04 2014  Debug: "2014-08-06 16:55:04"  No GPS Signal 
Wed Aug  6 16:55:04 2014  Debug: "2014-08-06 16:55:04"  No GPS Signal 
Wed Aug  6 16:55:05 2014  Debug: "2014-08-06 16:55:05"  No GPS Signal 
Wed Aug  6 16:55:05 2014  Debug: "2014-08-06 16:55:05"  No GPS Signal 
